ticker,model,mape_pct,rmse,evaluation_quarters,is_best_model
AAPL,Naive,17.67,22366130782.54,22,False
AAPL,SimpleExpSmoothing,12.4,18124585273.46,22,True
AAPL,LinearTrend,16.34,17966683218.27,22,False
MSFT,Naive,4.43,3442693151.64,22,False
MSFT,SimpleExpSmoothing,4.35,3479241394.92,22,False
MSFT,LinearTrend,4.19,3685220144.95,22,True
AMZN,Naive,11.28,20041188264.31,22,False
AMZN,SimpleExpSmoothing,9.56,18293633542.49,22,False
AMZN,LinearTrend,9.18,14714603955.81,22,True
NVDA,Naive,15.2,6369150508.51,20,True
NVDA,SimpleExpSmoothing,15.2,6369150584.61,20,False
NVDA,LinearTrend,32.2,15966021121.35,20,False
WMT,Naive,5.65,10419556378.77,23,False
WMT,SimpleExpSmoothing,4.58,8848436683.1,23,False
WMT,LinearTrend,3.65,6967238402.0,23,True
